player_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Ramírez, Harold",623912,327,6.1,29.4,112.5,89.1,100.4,91.9,87.6,441,137,398.0,133,40.7,15,4.6,3.5,2023
"Pham, Tommy",502054,326,5.7,34.4,113.7,92.3,103.1,95.1,90.1,433,157,400.0,160,49.1,35,10.7,7.3,2023
"Mountcastle, Ryan",663624,323,12.0,35.9,114.6,91.4,102.2,95.2,88.3,472,174,416.0,145,44.9,39,12.1,8.3,2023
"Alvarez, Yordan",670541,322,17.1,35.7,117.7,93.3,104.6,96.8,88.7,452,201,406.0,168,52.2,58,18.0,11.7,2023
"Grisham, Trent",663757,320,18.3,31.9,112.3,90.3,100.7,95.8,85.6,424,173,399.0,128,40.0,38,11.9,6.8,2023
"Contreras, Willson",575929,320,10.1,34.1,117.5,91.3,103.9,96.4,88.5,461,155,409.0,150,46.9,39,12.2,7.9,2023
"Walker, Jordan",691023,318,10.2,33.6,114.3,89.4,101.9,92.8,87.8,444,163,403.0,135,42.5,24,7.5,5.2,2023
"Rengifo, Luis",650859,316,11.0,29.7,109.1,89.1,98.9,93.0,86.8,427,158,395.0,115,36.9,24,7.6,5.4,2023
"Berti, Jon",542932,316,2.4,29.7,110.7,85.4,97.8,91.8,81.9,428,137,410.0,99,31.3,15,4.7,3.5,2023
"Turang, Brice",668930,315,12.6,34.0,108.3,85.5,96.2,89.8,82.8,417,157,406.0,85,27.0,9,2.9,2.0,2023
"Mullins, Cedric",656775,310,21.6,27.7,110.5,88.9,98.8,91.7,89.3,434,171,384.0,115,37.1,20,6.5,4.4,2023
"Gomes, Yan",543228,308,15.1,37.0,109.7,87.4,98.5,92.1,83.0,413,175,393.0,112,36.4,24,7.8,5.7,2023
"Langeliers, Shea",669127,308,19.6,30.8,113.4,90.6,101.9,96.1,86.8,456,173,409.0,137,44.5,41,13.3,8.4,2023
"Blackmon, Charlie",453568,308,18.1,39.0,108.5,86.4,97.6,89.9,84.4,463,175,411.0,97,31.5,15,4.9,3.6,2023
"Outman, James",681546,306,15.7,38.2,111.4,87.9,100.0,91.8,83.6,436,175,394.0,122,39.9,34,11.1,6.0,2023
"Andrus, Elvis",462101,306,5.5,27.8,109.4,87.5,97.9,89.0,87.5,439,129,401.0,95,31.0,8,2.6,2.0,2023
"Casas, Triston",671213,305,15.7,36.1,113.2,91.1,102.6,95.2,86.0,442,185,406.0,142,46.6,40,13.1,8.0,2023
"Conforto, Michael",624424,304,11.9,31.9,109.7,88.9,100.1,93.5,85.5,429,166,394.0,121,39.8,24,7.9,5.1,2023
"Carpenter, Kerry",681481,304,13.1,37.2,109.3,90.1,99.8,95.1,85.3,434,172,386.0,133,44.0,31,10.2,6.8,2023
"Joe, Connor",656582,304,16.7,37.2,111.6,88.9,100.0,92.0,88.7,428,177,405.0,127,41.8,25,8.2,5.3,2023
"Call, Alex",669743,302,17.0,29.5,108.5,86.8,97.4,90.8,84.0,428,165,397.0,91,30.1,16,5.3,3.6,2023
"Rooker, Brent",667670,295,17.6,37.3,112.6,91.6,102.7,95.4,86.3,462,203,406.0,146,49.5,46,15.6,8.7,2023
"Solano, Donovan",456781,295,13.1,43.1,109.8,90.2,100.1,92.8,88.3,420,175,398.0,129,43.7,18,6.1,4.0,2023
"McCutchen, Andrew",457705,294,12.3,33.7,109.8,89.6,100.3,94.2,85.3,442,168,390.0,131,44.6,20,6.8,4.2,2023
"Thomas, Alek",677950,293,2.2,28.3,110.9,88.9,99.8,93.4,86.2,432,129,392.0,122,41.6,15,5.1,3.7,2023
"Cooper, Garrett",643265,292,13.3,40.4,110.9,89.0,100.5,93.7,83.8,439,175,403.0,120,41.1,30,10.3,6.6,2023
"Martinez, J.D.",502110,292,16.9,41.1,112.1,93.4,103.5,97.3,87.7,438,205,398.0,161,55.1,50,17.1,10.4,2023
"Olivares, Edward",658668,292,12.2,34.2,111.0,87.3,99.1,91.8,85.0,452,160,416.0,110,37.7,23,7.9,6.0,2023
"Altuve, Jose",514888,290,11.4,29.3,109.6,86.0,97.9,92.7,82.5,429,144,400.0,91,31.4,24,8.3,5.9,2023
"Kiermaier, Kevin",595281,289,5.6,29.4,107.8,86.7,98.0,88.7,86.3,438,131,390.0,96,33.2,10,3.5,2.5,2023
"Duran, Ezequiel",677649,289,14.0,36.0,115.2,90.1,101.6,93.7,87.9,443,169,414.0,127,43.9,25,8.7,5.7,2023
"McCormick, Chas",676801,289,14.6,38.4,109.4,88.0,98.9,92.5,82.6,435,180,389.0,112,38.8,32,11.1,7.0,2023
"Ibáñez, Andy",628451,289,12.9,32.9,109.6,89.1,99.9,92.1,88.0,427,166,402.0,124,42.9,26,9.0,6.8,2023
"Diaz, Yainer",673237,287,11.5,36.9,110.9,90.3,101.6,94.9,85.9,453,173,397.0,126,43.9,35,12.2,9.3,2023
"Ward, Taylor",621493,282,14.3,34.0,111.4,90.7,100.3,93.1,88.8,417,178,395.0,123,43.9,23,8.2,5.6,2023
"Suwinski, Jack",669261,281,22.4,34.2,114.7,90.5,102.2,93.8,86.5,461,205,413.0,122,43.4,44,15.7,8.2,2023
"Grandal, Yasmani",518735,279,10.8,32.3,110.4,87.9,98.3,91.4,85.2,428,162,398.0,96,34.4,13,4.7,3.2,2023
"Peterson, Jace",607054,278,14.4,32.7,110.1,85.7,96.5,90.5,80.7,422,165,399.0,78,28.1,13,4.7,3.0,2023
"Rizzo, Anthony",519203,277,17.8,41.2,110.6,90.0,99.2,92.3,87.8,424,186,377.0,104,37.5,19,6.9,4.5,2023
"Donovan, Brendan",680977,276,10.6,37.3,109.1,89.3,99.4,93.5,86.3,416,157,394.0,112,40.6,16,5.8,4.3,2023
